company,sector,country,region,year,total_postings,ai_postings,avg_ai_score,avg_posted_salary,ai_adoption_rate
104405.0,Healthcare,United States,GA,2023,1,0,0.0,,0.0
104405.0,Healthcare,United States,MO,2023,1,0,0.0,,0.0
104405.0,Healthcare,United States,PA,2023,1,0,0.0,,0.0
104405.0,Healthcare,United States,TX,2023,1,0,0.0,,0.0
104405.0,Healthcare,United States,UT,2023,1,0,0.0,,0.0
104405.0,Healthcare,United States,WA,2023,2,0,0.0,,0.0
104405.0,Healthcare,United States,WV,2023,1,0,0.0,,0.0
10474.0,Healthcare,United States,VA,2023,1,0,0.0,,0.0
10514179.0,Healthcare,United States,AZ,2023,1,0,0.0,,0.0
10514179.0,Healthcare,United States,MD,2023,1,0,0.0,,0.0
10514179.0,Healthcare,United States,PA,2023,1,0,0.0,,0.0
10514179.0,Healthcare,United States,Unknown,2023,1,0,0.0,258000.0,0.0
10514179.0,Healthcare,United States,WA,2023,1,0,0.0,,0.0
10514179.0,Healthcare,United States,WV,2023,1,0,0.0,,0.0
10515.0,Healthcare,United States,CA,2023,1,0,0.0,91134.5,0.0
10525955.0,Healthcare,United States,WA,2023,1,1,0.3,220000.0,1.0
10594856.0,Healthcare,United States,DC,2023,1,0,0.0,,0.0
10611993.0,Healthcare,United States,TX,2023,1,0,0.0,,0.0
10621846.0,Healthcare,United States,CO,2023,1,0,0.0,120000.0,0.0
1068.0,Healthcare,United States,CA,2023,1,0,0.0,,0.0
10696913.0,Healthcare,United States,PA,2023,1,0,0.0,,0.0
10696913.0,Healthcare,United States,Unknown,2023,1,0,0.0,20.75,0.0
107021.0,Healthcare,United States,CA,2023,1,0,0.0,,0.0
10737.0,Healthcare,United States,Unknown,2023,1,0,0.0,,0.0
107457.0,Healthcare,United States,CA,2023,1,0,0.0,23.695,0.0
1075434.0,Healthcare,United States,IL,2023,1,0,0.0,,0.0
10769.0,Healthcare,United States,TX,2023,1,0,0.0,,0.0
10831504.0,Healthcare,United States,KY,2023,6,0,0.0,87192.91166666667,0.0
10847180.0,Healthcare,United States,NY,2023,1,0,0.0,35.5,0.0
11009726.0,Healthcare,United States,MA,2023,1,0,0.0,,0.0
11009726.0,Healthcare,United States,TX,2023,1,0,0.0,,0.0
11009726.0,Healthcare,United States,WI,2023,1,0,0.0,,0.0
11056.0,Healthcare,United States,MD,2023,1,0,0.0,69250.0,0.0
11056.0,Healthcare,United States,NY,2023,1,0,0.0,,0.0
11056.0,Healthcare,United States,OH,2023,1,0,0.0,32.0,0.0
11056.0,Healthcare,United States,Unknown,2023,1,0,0.0,,0.0
11067.0,Healthcare,United States,MA,2023,1,0,0.0,63.5,0.0
11067.0,Healthcare,United States,TX,2023,1,0,0.0,67.5,0.0
11074186.0,Healthcare,United States,AR,2023,1,0,0.0,67500.0,0.0
11092.0,Healthcare,United States,PA,2023,1,0,0.0,40000.0,0.0
1110268.0,Healthcare,United States,IA,2023,1,0,0.0,,0.0
111267.0,Healthcare,United States,PA,2023,1,0,0.0,,0.0
11127690.0,Healthcare,United States,WV,2023,1,0,0.0,11.0,0.0
11246635.0,Healthcare,United States,CA,2023,1,0,0.0,80000.0,0.0
1125676.0,Healthcare,United States,NY,2023,1,0,0.0,93760.0,0.0
11266342.0,Healthcare,United States,CT,2023,2,0,0.0,,0.0
11325362.0,Healthcare,United States,Unknown,2023,1,0,0.0,,0.0
11402317.0,Healthcare,United States,NJ,2023,1,0,0.0,2642.0,0.0
11402317.0,Healthcare,United States,WA,2023,1,0,0.0,2154.5,0.0
11818084.0,Healthcare,United States,IL,2023,1,0,0.0,,0.0
11824180.0,Healthcare,United States,PA,2023,1,0,0.0,,0.0
11898.0,Healthcare,United States,PA,2023,1,0,0.0,,0.0
1204878.0,Healthcare,United States,LA,2023,1,0,0.0,95000.0,0.0
12368.0,Healthcare,United States,PA,2023,1,0,0.0,72500.0,0.0
12595126.0,Healthcare,United States,IL,2023,1,0,0.0,,0.0
12605993.0,Healthcare,United States,PA,2023,1,0,0.0,29.0,0.0
1267359.0,Healthcare,United States,FL,2023,1,0,0.0,,0.0
1267571.0,Healthcare,United States,CO,2023,1,0,0.0,24.0,0.0
12820.0,Healthcare,United States,MO,2023,1,0,0.0,,0.0
1286891.0,Healthcare,United States,PA,2023,1,0,0.0,,0.0
1286891.0,Healthcare,United States,TX,2023,1,0,0.0,,0.0
12907.0,Healthcare,United States,DE,2023,1,0,0.0,,0.0
12934.0,Healthcare,United States,FL,2023,1,0,0.0,58000.0,0.0
12974879.0,Healthcare,United States,PA,2023,1,0,0.0,,0.0
12984051.0,Healthcare,United States,FL,2023,1,0,0.0,,0.0
12984051.0,Healthcare,United States,TX,2023,1,0,0.0,18.5,0.0
12984051.0,Healthcare,United States,UT,2023,1,0,0.0,,0.0
130095.0,Healthcare,United States,TN,2023,1,0,0.0,,0.0
